measurement,Source Link,XPath,Load Time (ms),Timestamp
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],179,2024-08-11 22:14:46
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],320,2024-08-12 17:37:14
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],199,2024-08-06 11:26:08
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],192,2024-08-07 17:27:42
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],187,2024-08-08 12:38:13
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],188,2024-08-14 20:39:57
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],197,2024-08-10 19:13:16
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],193,2024-08-07 12:51:36
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],198,2024-08-08 19:25:40
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],194,2024-08-08 02:31:58
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],185,2024-08-06 08:24:58
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],191,2024-08-08 03:38:53
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],187,2024-08-11 13:53:45
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],201,2024-08-14 19:19:09
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],179,2024-08-09 04:15:39
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],186,2024-08-11 11:34:52
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],192,2024-08-09 01:24:21
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],197,2024-08-09 19:27:06
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],181,2024-08-09 15:00:20
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],195,2024-08-04 09:06:57
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],193,2024-08-13 02:50:44
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],187,2024-08-10 07:16:19
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],186,2024-08-05 13:26:10
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],182,2024-08-04 12:56:34
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],183,2024-08-08 23:07:56
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],193,2024-08-12 08:24:03
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],195,2024-08-04 12:33:16
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],190,2024-08-14 12:17:31
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],178,2024-08-10 20:09:23
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],192,2024-08-04 12:00:59
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],178,2024-08-10 19:08:47
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],180,2024-08-08 20:27:30
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],182,2024-08-09 04:01:52
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],274,2024-08-14 06:47:34
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],188,2024-08-08 04:13:19
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],181,2024-08-08 00:13:30
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],195,2024-08-04 20:14:35
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],174,2024-08-13 14:35:24
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],174,2024-08-12 17:42:12
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],203,2024-08-13 08:18:22
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],186,2024-08-12 19:17:51
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],183,2024-08-05 07:11:36
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],334,2024-08-05 13:14:39
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],192,2024-08-14 04:46:54
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],197,2024-08-10 20:58:05
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],177,2024-08-04 08:27:06
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],173,2024-08-09 20:32:28
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],188,2024-08-05 06:13:09
